,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
year,1000.0,2023.0,0.0,2023.0,2023.0,2023.0,2023.0,2023.0,0,0.0,0.0
B_assets,1000.0,7071544.584049999,133237808.50253385,57.89,32999.7275,182740.66999999998,930656.655,4193081531.4,0,31.116978173216197,978.1585872028368
B_current_assets,1000.0,3791543.0594,73145506.19064113,42.57,16644.92,91841.035,499492.015,2305749163.05,0,31.26850554443728,984.8250287035901
B_equity,1000.0,3146396.377010001,63145502.488927945,18.03,12816.7875,71064.67,365440.9575,1988137189.54,0,31.172001577161005,980.3723528355179
B_inventory,1000.0,453451.8781500001,6646895.316044881,0.0,2197.7599999999998,13510.27,74050.105,207323011.12,0,30.28344726511126,941.9176078860745
B_long_term_liabilities,1000.0,256049.32381,1864967.0051553468,0.02,1266.2025,7795.25,49871.74,36397381.8,0,14.903447284214552,248.6432777460187
B_short_term_liabilities,1000.0,329863.69096,1953606.1644790068,0.11,1752.9225000000001,11270.42,73412.6175,34885166.62,0,11.800675937083854,164.07320300842449
B_cash,1000.0,198573.53256,2274982.2876791875,0.0,854.6375,6707.764999999999,37932.255000000005,68963413.37,0,28.016430374767307,839.1287224558262
PL_revenue,1000.0,12289285.975790001,247624496.0735081,83.85,50134.1425,266800.015,1386242.2825,7810808645.04,0,31.33314520402964,987.636040485401
PL_cost_of_sales,1000.0,10034380.05445,209320453.0380628,56.34,39450.850000000006,202510.015,1105755.42,6605545466.19,0,31.379787165086785,989.6288513951573
PL_profit_before_tax,1000.0,2124912.91699,35843131.5907234,-12139076.38,6655.262500000001,41084.775,249270.5725,1122292199.04,0,30.64458593136542,957.6641694691388
PL_net_profit,1000.0,1809412.54443,33635237.51611463,-13453131.59,5147.2725,31160.105,198893.96000000002,1057023257.94,0,30.98394873463126,972.5092560877848
PL_interest_payable,1000.0,23694.68833,141930.26674811484,0.07,97.4975,737.14,4473.845,3184603.52,0,15.330592023767363,294.6119912986488
PL_interest_receivable,1000.0,4291.633779999999,29575.284294721827,0.0,10.84,113.94,868.5325,575770.88,0,14.872553918264213,253.42296086154357
CFo_materials,1000.0,4603684.72168,82848485.06648317,18.12,19659.4725,100107.94,561818.4425,2603363254.07,0,30.970404396201957,971.929092387401
CFo_wages,1000.0,1224577.62671,19442682.277581748,0.0,7228.1975,38402.8,200877.3475,609857504.24,0,30.7866402715641,964.0466442323162
CFo_taxes,1000.0,738874.0021700001,17139182.23288548,0.0,2032.245,11176.695,65326.11,541488798.85,0,31.501723329877112,994.8485513802469
age,1000.0,8.065,8.317448824907489,0.0,2.0,6.0,11.25,50.0,0,1.7274780028252383,3.6553868477963003
