year,B_assets,B_current_assets,B_equity,B_inventory,B_long_term_liabilities,B_short_term_liabilities,B_cash,PL_revenue,PL_cost_of_sales,PL_profit_before_tax,PL_net_profit,PL_interest_payable,PL_interest_receivable,CFo_materials,CFo_wages,CFo_taxes,age,okved_section,region_name
2023,857341.85,384709.23,163806.39,42672.14,12634.29,5253.39,37966.41,1533547.38,835095.84,734490.94,775619.72,617.34,1091.2,383624.46,274268.85,43102.13,2,C,Санкт-Петербург
2023,152014.22,80312.49,48151.08,14255.77,2561.63,5703.42,11439.22,95912.4,74986.74,21421.45,13003.65,861.5,396.46,47805.47,12715.93,4837.11,11,M,Татарстан
2023,836607.63,360692.51,309852.14,65444.54,41328.81,106617.09,67992.97,1043309.75,942156.7,49694.9,46449.61,850.1,449.48,306189.29,257705.68,45039.26,11,H,Санкт-Петербург
2023,6037457.92,3041706.14,3903352.5,662515.32,162897.55,552607.04,268869.61,4881649.16,4065183.98,942613.16,809486.76,56128.97,13802.47,2970868.44,913426.98,331276.27,2,K,Нижегородская обл.
2023,111757.16,29722.69,54401.86,2099.95,2541.85,38665.4,3361.74,300243.83,247576.22,85039.14,61437.12,385.78,244.07,79726.75,63735.11,8658.13,31,O,Санкт-Петербург
2023,101997.46,59361.92,26493.05,13499.22,8456.06,6176.64,10526.76,113645.83,69071.02,42411.6,41373.29,27.36,529.64,60826.1,13726.09,6570.71,2,J,Челябинская обл.
2023,11035081.74,6071290.33,5278348.35,0.0,929244.28,1567498.51,558678.98,9565908.61,6772227.98,2613849.4,1459120.75,25625.63,6100.78,3939590.93,1940987.96,317626.93,2,H,Нижегородская обл.
2023,1341284.59,573314.27,314294.53,74306.82,186729.72,108164.0,11894.24,2030995.14,1667722.74,306293.93,219731.59,21355.52,315.24,778561.15,272907.11,80788.71,9,G,Москва
2023,68952.96,44742.67,37918.81,6305.95,2983.09,5946.13,10227.3,74690.08,61323.42,11538.94,7327.02,231.89,755.67,32754.56,11614.44,0.0,10,G,Санкт-Петербург
2023,538116.06,371642.07,195586.38,85725.24,3267.16,20125.53,26689.15,1685716.92,1519617.63,-65290.61,-54155.3,2409.21,309.57,814521.61,390668.91,154819.56,25,M,Москва
2023,75862.21,23431.26,31009.72,4260.05,1940.53,5524.7,2566.32,78375.65,59997.6,19965.29,12906.21,277.64,132.03,25829.47,7669.94,4781.79,2,H,Татарстан
2023,53903.76,23480.01,31215.43,1586.19,16871.0,4116.27,3976.58,39948.3,32780.87,5478.51,4557.94,23.61,1.14,13519.35,6398.21,1384.33,0,F,Свердловская обл.
2023,555422.26,241402.43,147487.03,24430.06,40300.58,81737.94,15326.73,282385.15,220722.8,38926.63,29491.89,7696.34,1.68,136945.64,48542.08,7767.54,6,C,Свердловская обл.
2023,1107.7,453.07,279.52,88.75,109.62,375.4,17.91,1627.25,1108.66,579.88,418.95,2.83,0.77,405.62,286.4,65.23,4,H,Челябинская обл.
2023,3672.01,2476.48,1285.09,430.1,2.17,176.02,285.35,4136.19,2293.19,1619.23,1338.51,13.88,12.27,1495.55,527.2,266.11,5,H,Москва
2023,42347.07,22059.69,23062.44,2948.72,2473.88,219.1,0.0,30921.35,25451.39,4946.35,3698.71,24.78,0.0,22389.18,7863.71,375.95,6,K,Краснодарский край
2023,10641.29,5430.49,2529.21,768.6,32.56,875.69,449.24,28770.62,22941.54,7938.6,5155.04,19.25,35.84,9298.63,2452.79,1357.06,0,H,Санкт-Петербург
2023,308801.08,77021.36,24747.73,18153.43,20805.32,29136.3,8834.53,643112.63,461872.24,135926.17,151716.0,3576.89,33.25,343923.95,143378.28,54930.07,8,C,Санкт-Петербург
2023,15272.9,9855.8,5587.76,1365.86,3097.85,338.06,825.94,22465.29,13885.41,6858.37,4948.59,529.84,6.54,8119.07,4734.63,613.78,3,H,Ростовская обл.
2023,5412.63,1970.8,2631.67,340.86,1496.14,928.19,14.57,15972.98,13464.8,2723.25,1399.44,56.28,1.02,7521.75,3914.09,824.33,7,O,Самарская обл.
2023,7429525.62,4153029.75,4190485.81,1468490.25,462253.78,3740014.38,812543.08,15436425.79,11629926.57,4693698.04,3186777.64,371571.89,4755.48,7493390.14,1089636.38,1452045.86,7,F,Татарстан
2023,77920.88,46098.5,28395.98,3047.36,3820.41,27253.06,4896.23,77035.47,64377.58,6593.89,4140.48,328.91,168.39,41051.87,8208.78,4825.74,6,K,Челябинская обл.
2023,191283.93,144246.98,70895.33,4594.64,44389.09,5039.17,26811.06,169719.79,164018.03,9161.41,8054.14,4067.94,608.08,67883.61,38118.58,8913.42,1,J,Башкортостан
2023,8785.08,3107.08,4906.19,754.05,786.91,2195.24,262.23,19728.14,11163.31,9137.94,7480.3,159.76,0.68,12209.52,1107.7,1186.31,1,M,Челябинская обл.
2023,70073.93,6802.3,13708.63,855.11,376.16,10250.96,321.06,127451.3,90495.51,23833.66,19730.59,113.77,3.23,46018.38,8880.43,5350.75,1,F,Москва
2023,244801.65,141391.91,91403.43,21850.85,12276.23,17768.35,16422.79,397550.58,301765.72,111657.1,82134.66,541.19,362.0,176282.69,49926.24,30210.91,8,O,Самарская обл.
2023,9264.24,7597.39,4102.68,892.75,203.63,864.75,661.37,9051.34,8376.86,1071.21,799.63,7.55,37.95,4023.57,1444.59,380.28,39,J,Самарская обл.
2023,431599.97,317589.37,204537.92,50565.3,21908.33,98117.76,9316.27,872596.24,537833.15,321159.94,236209.37,2897.63,343.61,268587.9,200357.92,9438.32,8,N,Ростовская обл.
2023,43584.58,25342.21,15639.16,7802.44,2119.34,3421.49,4769.08,44565.23,43388.09,3967.7,3056.15,63.09,139.15,17443.4,6271.96,1879.49,9,G,Челябинская обл.
2023,57752.84,27505.06,24494.88,6715.92,4031.7,3237.44,1723.57,81873.82,64973.88,21552.23,18971.14,375.39,35.43,35709.38,9791.13,2510.69,4,M,Краснодарский край
2023,33473.87,22463.26,4063.75,5592.85,1181.64,2730.39,0.0,102949.37,79312.19,24167.98,19825.69,1017.9,0.0,38790.08,17045.28,4568.49,0,M,Татарстан
2023,10120971.74,4088549.42,3451354.5,272713.75,145296.85,1051080.1,734671.3,10850298.2,8248331.84,2357050.5,1979954.33,722.72,2798.56,7205600.53,1882307.82,486292.12,18,G,Москва
2023,177375.44,110230.62,84150.64,9690.12,9941.74,4460.98,7687.72,120514.97,88744.05,25908.9,21762.1,560.65,121.33,40509.62,20736.05,8911.9,26,G,Свердловская обл.
2023,14043.03,8788.42,4242.75,0.0,1992.03,3895.6,558.33,12377.16,10951.45,1402.46,1242.76,250.97,0.48,6658.2,1746.43,790.97,5,K,Москва
2023,1100644.35,780391.5,470061.11,89939.76,96036.11,148115.67,0.0,2699442.3,1817123.98,959219.89,781359.42,29979.87,0.0,1364962.15,141034.24,149185.51,5,C,Санкт-Петербург
2023,12333.65,11716.97,5841.52,3005.83,407.55,1484.67,2395.61,20898.91,17023.03,3537.14,2911.28,66.72,40.71,8748.57,2175.98,1043.71,11,M,Нижегородская обл.
2023,189933.5,115643.37,71964.68,25598.32,41655.41,2388.62,2617.14,265664.79,197012.18,39462.68,36410.5,1727.86,42.58,88593.65,58715.52,7657.21,0,C,Санкт-Петербург
2023,781.73,370.27,344.32,60.09,152.14,86.94,38.33,904.12,636.31,325.17,227.68,7.63,0.05,310.27,144.08,5.77,15,F,Ростовская обл.
2023,6290.97,3435.9,1915.42,612.33,118.22,97.33,531.73,11962.72,11723.47,353.03,239.11,3.38,14.19,4404.71,1601.5,625.21,15,K,Самарская обл.
2023,364500.27,103750.85,144052.93,12957.36,1172.68,3585.24,13000.29,355659.88,292318.66,56590.36,36087.07,13.72,311.15,85865.5,73233.37,23435.43,2,C,Татарстан
2023,1708873.19,761803.76,842860.59,149603.56,184848.11,153658.61,73453.68,2970311.96,2499002.33,598611.02,480055.96,8891.9,179.2,949470.49,277706.85,142079.89,34,Q,Башкортостан
2023,217674.35,106357.35,95523.51,25660.87,30613.68,13464.79,0.0,225286.49,201356.03,41104.48,22917.89,119.07,0.0,61222.13,31254.58,8854.42,34,N,Москва
2023,168465.04,79412.19,58898.12,4028.51,46331.88,17965.8,4083.1,160436.56,102336.86,35623.24,29761.74,2570.63,12.82,88976.11,25170.56,9512.29,18,J,Башкортостан
2023,75787.47,43415.1,33869.87,8855.46,13373.69,849.94,4830.71,82202.79,78522.5,5465.17,4191.22,261.11,279.68,39609.1,10516.3,3973.14,7,M,Самарская обл.
2023,3834.93,1636.12,1939.53,416.55,281.52,259.48,86.34,4741.95,2508.98,1894.71,1735.85,20.63,0.0,2364.32,735.18,396.97,0,N,Санкт-Петербург
2023,35083.54,25195.41,6104.78,3698.48,2119.42,808.8,2826.96,51076.13,35912.82,16437.94,11496.2,21.11,181.44,24459.5,7182.09,3813.07,7,G,Санкт-Петербург
2023,62573.67,34417.46,34984.25,8124.45,141.35,32667.47,4849.58,105011.78,77088.82,28594.66,21606.18,4425.18,2.9,45858.31,8404.39,7265.78,0,N,Санкт-Петербург
2023,1425292.93,781922.76,541111.65,316813.49,32295.3,140864.23,123348.45,336281.97,281862.24,65108.89,59552.79,19473.92,5247.4,190358.47,53493.68,21910.34,0,F,Самарская обл.
2023,598395.88,299686.11,281879.64,51441.89,29463.72,83508.45,7920.48,596111.23,478004.8,103226.07,97649.42,1190.26,106.67,213958.47,49824.41,14423.9,3,G,Башкортостан
2023,3000.18,1719.94,1691.11,363.71,237.67,141.73,398.68,3679.9,2808.94,526.3,367.56,7.98,16.03,1584.81,582.46,232.79,7,J,Санкт-Петербург
2023,303319.24,204365.81,77467.48,24719.15,19770.45,3622.79,29847.37,960368.3,747935.08,-66842.26,-168986.94,1111.89,460.01,475099.85,210039.07,55246.65,0,K,Нижегородская обл.
2023,69984.94,29388.81,23435.65,5716.13,7599.04,31277.68,2935.86,60841.9,41506.21,20573.37,16774.09,195.51,6.48,17515.11,8271.39,3780.02,5,C,Москва
2023,34748.93,15681.58,13391.34,3400.11,912.31,1406.23,2593.3,56235.44,35443.89,23646.6,19504.62,50.76,113.5,41032.69,5141.37,3365.81,0,G,Свердловская обл.
2023,812111.44,409662.38,264707.38,80124.8,54073.65,53727.47,99107.35,2558439.36,2181456.3,227080.1,169967.39,1558.62,219.78,1081852.91,367521.37,151089.28,12,J,Краснодарский край
2023,1816472.99,632349.42,1141094.51,62238.6,13408.66,228752.09,8648.51,1405527.16,1193813.47,283891.76,265088.48,29921.4,662.28,610278.41,152361.17,146199.18,6,G,Москва
2023,1365065.93,583035.11,432981.64,114571.61,58300.86,4096.41,50423.35,2479830.83,2327195.84,72304.3,40001.31,5971.42,79.14,1353213.44,445688.71,120212.99,0,M,Краснодарский край
2023,19816.89,9483.71,7001.99,2816.43,2198.78,3952.51,0.0,19794.39,13875.84,6277.28,4579.05,266.69,0.0,10124.74,2822.69,1360.4,27,K,Самарская обл.
2023,106807.96,72753.14,47478.99,15706.74,10101.59,9857.75,8116.27,123805.97,105146.13,15503.45,12926.03,733.2,312.61,52469.94,29154.84,5024.07,0,G,Краснодарский край
2023,438554.17,258476.9,120927.83,66417.96,163900.06,17157.87,31514.45,437872.57,329117.86,112743.08,94125.47,24168.36,472.37,189604.49,91142.95,28817.63,4,C,Москва
2023,1668905.4,966360.46,621697.83,155621.76,43468.89,12734.58,94365.36,1726747.02,1552427.59,251321.78,236828.33,7572.18,693.36,465505.35,245795.49,118776.71,12,J,Москва
2023,61918.48,41958.11,28364.51,10069.61,3415.58,1317.62,2548.03,360241.56,317803.77,20336.72,18786.8,824.64,108.8,131255.25,66925.84,20637.71,14,H,Москва
2023,43533.66,23046.47,16545.26,4663.26,1392.3,11775.6,0.0,99063.64,79361.95,16333.99,12180.82,88.2,0.0,46730.4,12911.77,8260.42,0,F,Челябинская обл.
2023,14454.95,8796.85,5909.09,914.23,671.75,2009.42,1076.84,37408.8,27908.72,9846.04,9215.74,23.46,82.7,17372.25,5674.83,1208.85,18,G,Ростовская обл.
2023,4854.05,2594.57,1730.37,533.14,755.12,167.49,486.03,9260.99,8113.49,2259.55,1568.84,52.09,6.88,5020.54,1221.79,372.81,20,G,Москва
2023,1113014.07,656460.54,265190.7,66082.12,102635.47,9062.36,42367.24,743745.27,628234.53,83411.08,74378.2,4354.27,896.99,303410.81,140064.19,40346.4,6,C,Самарская обл.
2023,3452810.53,1597222.51,1583428.47,206632.0,591346.72,486087.98,201894.67,6275590.16,4465433.58,-752860.4,-3770534.61,1004.09,2732.77,1765143.71,1390980.88,424331.16,5,J,Санкт-Петербург
2023,92186.62,16978.69,58132.14,3313.33,1678.11,9398.45,100.37,235163.21,152202.36,106529.18,98624.0,35.43,0.89,123618.96,44665.12,12602.06,0,M,Москва
2023,2833661.59,1501438.62,1196395.15,305962.47,468441.82,176271.89,191332.5,2759004.66,2072417.28,673163.29,533611.46,70595.33,7981.06,1554999.68,541032.07,208898.54,4,J,Татарстан
2023,349332.58,266684.76,156162.74,22631.24,1722.14,18945.53,20373.93,844451.88,786641.87,45221.24,33472.15,2099.39,253.65,430522.22,165640.65,31047.29,2,M,Москва
2023,35995.59,24798.53,18110.34,6554.72,6319.74,1055.62,1345.44,76368.06,68322.59,5402.89,3223.2,163.01,22.56,30824.95,13560.13,2076.33,12,C,Санкт-Петербург
2023,396096.38,275211.58,106027.21,62131.9,12646.44,52640.51,14965.5,1491708.79,997605.99,489015.89,399655.45,7236.64,232.1,782309.68,138782.16,83778.19,4,H,Татарстан
2023,8781902.82,6458383.53,5482557.38,798396.51,265378.3,3719041.52,493312.68,10631290.64,7050929.85,2832598.63,1830351.4,179418.85,18456.21,8110516.46,2498869.73,515154.01,10,J,Башкортостан
2023,152280.8,85779.57,67655.23,4888.85,8742.4,3531.2,10546.25,131225.96,119083.41,11642.32,7972.94,1006.07,790.51,56626.0,31523.17,7986.05,1,K,Самарская обл.
2023,5535605.28,3208422.18,3408952.09,540322.79,1251038.16,603895.66,68243.81,6892176.03,4593197.05,2814817.1,1793349.54,51717.61,2249.75,1990641.91,953229.43,340831.57,0,K,Татарстан
2023,314.04,143.63,104.27,20.73,1.23,20.8,10.94,960.35,797.99,133.02,96.41,0.13,0.21,347.04,126.25,41.49,4,K,Челябинская обл.
